filename,original_status,original_score,final_status,final_score,score_delta,final_decision,final_directive,enhancement_success,degradation_detected,attempts,operations,orig_focus,orig_brightness,orig_contrast,orig_noise,orig_illumination,orig_artifact,post_focus,post_brightness,post_contrast,post_noise,post_illumination,post_artifact,delta_focus,delta_brightness,delta_contrast,delta_noise,delta_illumination,delta_artifact,processing_time_s
aptos_0d8f60ed9280.png,BORDERLINE,0.7789,NON-CRITICAL,0.8336,0.0547,ACCEPT,OK TO GO,True,False,1,bilateral_denoising; gamma_correction,0.9,0.2849,1.0,0.5222,0.6771,1.0,0.857,0.6195,1.0,0.5222,0.8293,1.0,-0.043,0.3346,0.0,0.0,0.1522,0.0,0.9833
aptos_10fca1abf338.png,BORDERLINE,0.7979,NON-CRITICAL,0.7903,-0.0076,ACCEPT,OK TO GO,True,False,1,illumination_normalization,0.2837,0.9597,1.0,1.0,0.8302,1.0,0.469,0.9543,0.5329,1.0,1.0,1.0,0.1853,-0.0054,-0.4671,0.0,0.1698,0.0,0.7129
aptos_14c3b41d289c.png,BORDERLINE,0.7096,CRITICAL,0.673,-0.0366,REJECT,RECAPTURE,False,True,1,bilateral_denoising; glare_attenuation,0.7464,0.7176,0.9071,0.5222,0.7772,0.0,0.4084,0.7177,0.9074,1.0,0.7772,0.0,-0.338,0.0001,0.0003,0.4778,0.0,0.0,1.9753
aptos_1594ca6c30d3.png,BORDERLINE,0.8032,NON-CRITICAL,0.7973,-0.0059,ACCEPT,OK TO GO,True,False,1,illumination_normalization,0.2875,0.9802,1.0,1.0,0.8427,1.0,0.4991,0.9907,0.4926,1.0,1.0,1.0,0.2116,0.0105,-0.5074,0.0,0.1573,0.0,0.7812
aptos_15cc2aef772a.png,BORDERLINE,0.8162,BORDERLINE,0.8241,0.0079,REJECT,RECAPTURE,False,False,1,gamma_correction; glare_attenuation,0.7798,0.6937,0.8846,1.0,0.787,0.5613,0.8194,0.532,0.9313,1.0,0.9396,0.5612,0.0396,-0.1617,0.0467,0.0,0.1526,-0.0001,1.6534
aptos_0924cec998fa.png,BORDERLINE,0.804,BORDERLINE,0.7629,-0.0411,REJECT,RECAPTURE,False,False,2,bilateral_denoising; glare_attenuation; gamma_correction,0.8711,0.8465,1.0,0.5222,0.9788,0.1678,0.7517,0.767,1.0,0.5222,0.9837,0.1698,-0.1194,-0.0795,0.0,0.0,0.0049,0.002,1.4585
aptos_18ce0cdc473d.png,BORDERLINE,0.7466,CRITICAL,0.7048,-0.0418,REJECT,RECAPTURE,False,True,1,bilateral_denoising; glare_attenuation,0.7044,0.8649,0.9772,0.5222,0.9247,0.0,0.3457,0.865,0.9777,1.0,0.9247,0.0,-0.3587,0.0001,0.0005,0.4778,0.0,0.0,1.8635
aptos_1a19f2ef4472.png,BORDERLINE,0.7408,CRITICAL,0.7004,-0.0404,REJECT,RECAPTURE,False,True,1,bilateral_denoising; glare_attenuation,0.7184,0.7665,1.0,0.5222,0.6949,0.2494,0.3654,0.7665,1.0,1.0,0.6952,0.2505,-0.353,0.0,0.0,0.4778,0.0003,0.0011,1.9711
aptos_218c822a3dd9.png,BORDERLINE,0.8169,BORDERLINE,0.8332,0.0163,REJECT,RECAPTURE,False,False,2,bilateral_denoising; glare_attenuation; unsharp_masking,0.7752,0.9739,1.0,0.5222,0.9924,0.2594,0.6497,0.9721,1.0,1.0,0.992,0.2614,-0.1255,-0.0018,0.0,0.4778,-0.0004,0.002,3.0399
aptos_2209daf71aab.png,BORDERLINE,0.7482,CRITICAL,0.7083,-0.0399,REJECT,RECAPTURE,False,True,1,bilateral_denoising; glare_attenuation,0.6285,0.884,1.0,0.5222,1.0,0.0682,0.2779,0.8839,1.0,1.0,1.0,0.0679,-0.3506,-0.0001,0.0,0.4778,0.0,-0.0003,1.8731
aptos_22ce8ef69357.png,BORDERLINE,0.7571,CRITICAL,0.7185,-0.0386,REJECT,RECAPTURE,False,True,1,bilateral_denoising; glare_attenuation,0.7288,0.8557,1.0,0.5222,0.9176,0.0305,0.3814,0.8566,1.0,1.0,0.9176,0.0335,-0.3474,0.0009,0.0,0.4778,0.0,0.003,1.9983
aptos_247e98aba610.png,BORDERLINE,0.7459,NON-CRITICAL,0.9055,0.1596,ACCEPT,OK TO GO,True,False,1,bilateral_denoising; CLAHE,0.8151,0.6921,0.2407,0.5222,1.0,1.0,1.0,0.8741,0.8141,0.5222,1.0,1.0,0.1849,0.182,0.5734,0.0,0.0,0.0,1.5278
aptos_24f271c87e73.png,BORDERLINE,0.7823,CRITICAL,0.7424,-0.0399,REJECT,RECAPTURE,False,True,1,bilateral_denoising; glare_attenuation,0.7241,0.8649,1.0,0.5222,0.9338,0.263,0.3732,0.865,1.0,1.0,0.9338,0.2642,-0.3509,0.0001,0.0,0.4778,0.0,0.0012,1.8636
aptos_17d997fe1090.png,BORDERLINE,0.7303,NON-CRITICAL,0.7924,0.0621,ACCEPT,OK TO GO,True,False,2,gamma_correction; glare_attenuation; illumination_normalization; bilateral_denoising,0.6413,0.4341,1.0,1.0,0.7775,0.275,0.3817,0.6492,1.0,1.0,1.0,1.0,-0.2596,0.2151,0.0,0.0,0.2225,0.725,3.1473
aptos_1891698febce.png,BORDERLINE,0.7344,BORDERLINE,0.7097,-0.0247,REJECT,RECAPTURE,False,False,2,gamma_correction; glare_attenuation; bilateral_denoising,0.6538,0.4774,1.0,1.0,0.9185,0.0779,0.3493,0.7669,1.0,1.0,1.0,0.0764,-0.3045,0.2895,0.0,0.0,0.0815,-0.0015,2.8812
aptos_1ec95179cdfe.png,BORDERLINE,0.7505,NON-CRITICAL,0.8169,0.0664,ACCEPT,OK TO GO,True,False,1,illumination_normalization; gamma_correction,0.3239,0.5999,1.0,1.0,0.8193,1.0,0.4795,0.8815,0.7898,1.0,0.9875,1.0,0.1556,0.2816,-0.2102,0.0,0.1682,0.0,0.229
